timestamp,reading
1707189606.7565,Reading: 6.9 lbs
1707189606.84482,Reading: 6.6 lbs
1707189606.93139,Reading: 6.5 lbs
1707189607.01966,Reading: 6.5 lbs
1707189607.10744,Reading: 6.4 lbs
1707189607.19513,Reading: 6.3 lbs
1707189607.28228,Reading: 6.3 lbs
1707189607.37055,Reading: 6.3 lbs
1707189607.45835,Reading: 6.4 lbs
1707189607.54673,Reading: 6.6 lbs
1707189607.63461,Reading: 7.1 lbs
1707189607.72185,Reading: 7.6 lbs
1707189607.8095,Reading: 8.0 lbs
1707189607.89693,Reading: 8.2 lbs
1707189607.98548,Reading: 8.4 lbs
1707189608.07243,Reading: 8.7 lbs
1707189608.16027,Reading: 8.9 lbs
1707189608.24851,Reading: 9.0 lbs
1707189608.33668,Reading: 9.0 lbs
1707189608.42451,Reading: 8.9 lbs
1707189608.51151,Reading: 8.9 lbs
1707189608.59962,Reading: 8.9 lbs
1707189608.68733,Reading: 9.0 lbs
1707189608.7746,Reading: 9.1 lbs
1707189608.86278,Reading: 9.2 lbs
1707189608.95042,Reading: 9.3 lbs
1707189609.03857,Reading: 9.3 lbs
1707189609.12518,Reading: 9.3 lbs
1707189609.21382,Reading: 9.3 lbs
1707189609.30136,Reading: 9.2 lbs
1707189609.38911,Reading: 9.2 lbs
1707189609.47653,Reading: 9.4 lbs
1707189609.56407,Reading: 9.8 lbs
1707189609.65218,Reading: 10.2 lbs
1707189609.73949,Reading: 10.4 lbs
1707189609.8277,Reading: 10.9 lbs
1707189609.91544,Reading: 11.0 lbs
1707189610.00299,Reading: 11.1 lbs
1707189610.09144,Reading: 11.3 lbs
1707189610.17859,Reading: 11.5 lbs
1707189610.26676,Reading: 11.7 lbs
1707189610.35396,Reading: 12.0 lbs
1707189610.44264,Reading: 12.0 lbs
1707189610.53,Reading: 11.9 lbs
1707189610.61758,Reading: 11.9 lbs
1707189610.70581,Reading: 11.8 lbs
1707189610.79348,Reading: 11.6 lbs
1707189610.88134,Reading: 11.5 lbs
1707189610.968,Reading: 11.8 lbs
1707189611.05674,Reading: 11.6 lbs
1707189611.1444,Reading: 10.8 lbs
1707189611.23203,Reading: 10.6 lbs
1707189611.31967,Reading: 11.0 lbs
1707189611.4076,Reading: 10.9 lbs
1707189611.49558,Reading: 10.8 lbs
1707189611.58363,Reading: 10.9 lbs
1707189611.67051,Reading: 10.9 lbs
1707189611.75875,Reading: 10.5 lbs
1707189611.84667,Reading: 10.4 lbs
1707189611.93406,Reading: 10.3 lbs
1707189612.0226,Reading: 10.2 lbs
1707189612.10973,Reading: 10.2 lbs
1707189612.19721,Reading: 10.0 lbs
1707189612.28581,Reading: 9.7 lbs
1707189612.3722,Reading: 9.5 lbs
1707189612.46009,Reading: 9.3 lbs
1707189612.54841,Reading: 9.0 lbs
1707189612.63669,Reading: 8.8 lbs
1707189612.72472,Reading: 8.8 lbs
1707189612.81165,Reading: 8.7 lbs
1707189612.89882,Reading: 8.8 lbs
1707189612.98755,Reading: 8.8 lbs
1707189613.07563,Reading: 8.7 lbs
1707189613.16224,Reading: 8.6 lbs
1707189613.25026,Reading: 8.4 lbs
1707189613.3383,Reading: 8.3 lbs
1707189613.42588,Reading: 8.2 lbs
1707189613.51354,Reading: 8.1 lbs
1707189613.60161,Reading: 8.2 lbs
1707189613.68942,Reading: 8.0 lbs
1707189613.77691,Reading: 7.7 lbs
1707189613.86469,Reading: 7.3 lbs
1707189613.9518,Reading: 6.9 lbs
1707189614.04008,Reading: 6.6 lbs
1707189614.12755,Reading: 6.3 lbs
1707189614.2157,Reading: 5.9 lbs
1707189614.30323,Reading: 5.7 lbs
1707189614.39154,Reading: 5.6 lbs
1707189614.4789,Reading: 5.5 lbs
1707189614.56685,Reading: 5.5 lbs
1707189614.6542,Reading: 5.7 lbs
1707189614.74241,Reading: 5.8 lbs
1707189614.83041,Reading: 5.8 lbs
1707189614.91789,Reading: 5.8 lbs
1707189615.00579,Reading: 5.7 lbs
1707189615.09314,Reading: 5.7 lbs
1707189615.18119,Reading: 5.7 lbs
1707189615.26896,Reading: 5.7 lbs
1707189615.35653,Reading: 5.7 lbs
1707189615.44423,Reading: 5.6 lbs
1707189615.53259,Reading: 5.6 lbs
1707189615.61992,Reading: 5.5 lbs
1707189615.70751,Reading: 5.5 lbs
1707189615.79576,Reading: 5.4 lbs
1707189615.88329,Reading: 5.4 lbs
1707189615.97155,Reading: 5.4 lbs
1707189616.06211,Reading: 5.4 lbs
1707189616.14654,Reading: 5.4 lbs
1707189616.23471,Reading: 5.4 lbs
1707189616.32244,Reading: 5.5 lbs
1707189616.41,Reading: 5.7 lbs
1707189616.49717,Reading: 6.6 lbs
1707189616.58527,Reading: 7.4 lbs
1707189616.67313,Reading: 7.9 lbs
1707189616.76288,Reading: 8.4 lbs
1707189616.84762,Reading: 8.9 lbs
1707189616.93652,Reading: 9.1 lbs
1707189617.02461,Reading: 9.0 lbs
1707189617.11275,Reading: 8.9 lbs
1707189617.19988,Reading: 8.4 lbs
1707189617.28707,Reading: 7.9 lbs
1707189617.37576,Reading: 7.7 lbs
1707189617.46297,Reading: 7.4 lbs
1707189617.5512,Reading: 7.1 lbs
1707189617.63816,Reading: 6.9 lbs
1707189617.72863,Reading: 6.7 lbs
1707189617.81424,Reading: 6.4 lbs
1707189617.90269,Reading: 5.9 lbs
1707189617.98951,Reading: 5.4 lbs
1707189618.07691,Reading: 5.2 lbs
1707189618.16514,Reading: 5.3 lbs
1707189618.25329,Reading: 5.6 lbs
1707189618.34026,Reading: 5.7 lbs
1707189618.42799,Reading: 5.6 lbs
1707189618.51619,Reading: 5.6 lbs
1707189618.60454,Reading: 5.7 lbs
1707189618.69226,Reading: 5.7 lbs
1707189618.77922,Reading: 5.8 lbs
1707189618.86759,Reading: 5.7 lbs
1707189618.95484,Reading: 5.7 lbs
1707189619.04498,Reading: 5.7 lbs
1707189619.13026,Reading: 5.7 lbs
1707189619.218,Reading: 5.7 lbs
1707189619.30656,Reading: 5.7 lbs
1707189619.39455,Reading: 5.7 lbs
1707189619.48217,Reading: 5.7 lbs
1707189619.56943,Reading: 5.7 lbs
1707189619.65731,Reading: 5.7 lbs
1707189619.74544,Reading: 5.6 lbs
1707189619.83305,Reading: 5.6 lbs
1707189619.91977,Reading: 5.5 lbs
1707189620.00843,Reading: 5.5 lbs
1707189620.09665,Reading: 5.6 lbs
1707189620.18381,Reading: 5.6 lbs
1707189620.27234,Reading: 5.8 lbs
1707189620.35955,Reading: 5.9 lbs
1707189620.44716,Reading: 5.9 lbs
1707189620.53567,Reading: 6.0 lbs
1707189620.6248,Reading: 6.1 lbs
1707189620.71171,Reading: 6.1 lbs
1707189620.79805,Reading: 6.2 lbs
1707189620.88629,Reading: 6.2 lbs
1707189620.97393,Reading: 6.1 lbs
1707189621.06266,Reading: 6.1 lbs
1707189621.14883,Reading: 6.1 lbs
1707189621.23705,Reading: 6.1 lbs
1707189621.32534,Reading: 6.1 lbs
1707189621.41313,Reading: 6.0 lbs
1707189621.49964,Reading: 5.9 lbs
1707189621.58803,Reading: 5.8 lbs
1707189621.67674,Reading: 5.8 lbs
1707189621.7647,Reading: 5.7 lbs
1707189621.85154,Reading: 5.7 lbs
1707189621.93974,Reading: 5.6 lbs
1707189622.02734,Reading: 5.6 lbs
1707189622.12711,Reading: 5.5 lbs
1707189622.20343,Reading: 5.5 lbs
1707189622.28968,Reading: 5.4 lbs
1707189622.37939,Reading: 5.4 lbs
1707189622.46652,Reading: 5.4 lbs
1707189622.55451,Reading: 5.4 lbs
1707189622.64261,Reading: 5.4 lbs
1707189622.7295,Reading: 5.3 lbs
1707189622.81722,Reading: 5.3 lbs
1707189622.90548,Reading: 5.3 lbs
1707189622.99369,Reading: 5.3 lbs
1707189623.08046,Reading: 5.2 lbs
1707189623.16795,Reading: 5.2 lbs
1707189623.2575,Reading: 5.3 lbs
1707189623.34608,Reading: 5.3 lbs
1707189623.43239,Reading: 5.3 lbs
1707189623.51947,Reading: 5.3 lbs
1707189623.6075,Reading: 5.2 lbs
1707189623.69486,Reading: 5.3 lbs
1707189623.78337,Reading: 5.3 lbs
1707189623.86966,Reading: 5.3 lbs
1707189623.95832,Reading: 5.3 lbs
1707189624.04657,Reading: 5.3 lbs
1707189624.13424,Reading: 5.4 lbs
1707189624.22273,Reading: 5.4 lbs
1707189624.30915,Reading: 5.4 lbs
1707189624.39694,Reading: 5.3 lbs
1707189624.48502,Reading: 5.3 lbs
1707189624.57367,Reading: 5.4 lbs
1707189624.66134,Reading: 5.4 lbs
1707189624.74838,Reading: 5.4 lbs
1707189624.8366,Reading: 5.3 lbs
1707189624.92358,Reading: 5.3 lbs
1707189625.01205,Reading: 5.3 lbs
1707189625.10149,Reading: 5.3 lbs
1707189625.18689,Reading: 5.3 lbs
1707189625.27512,Reading: 5.3 lbs
1707189625.36303,Reading: 5.3 lbs
1707189625.45118,Reading: 5.3 lbs
1707189625.53838,Reading: 5.4 lbs
1707189625.62582,Reading: 5.5 lbs
1707189625.71437,Reading: 5.8 lbs
1707189625.80234,Reading: 6.0 lbs
1707189625.88991,Reading: 6.0 lbs
1707189625.97738,Reading: 5.9 lbs
1707189626.06561,Reading: 5.8 lbs
1707189626.15329,Reading: 5.8 lbs
1707189626.24158,Reading: 5.7 lbs
1707189626.32778,Reading: 5.6 lbs
1707189626.41659,Reading: 5.6 lbs
1707189626.50435,Reading: 5.7 lbs
1707189626.59188,Reading: 5.7 lbs
1707189626.68045,Reading: 5.7 lbs
1707189626.76709,Reading: 5.7 lbs
1707189626.85549,Reading: 5.6 lbs
1707189626.94327,Reading: 5.6 lbs
1707189627.03136,Reading: 5.6 lbs
1707189627.11789,Reading: 5.6 lbs
1707189627.20596,Reading: 5.6 lbs
1707189627.29465,Reading: 5.6 lbs
1707189627.38217,Reading: 5.6 lbs
1707189627.47016,Reading: 5.5 lbs
1707189627.55687,Reading: 5.6 lbs
1707189627.6454,Reading: 5.6 lbs
1707189627.73351,Reading: 5.7 lbs
1707189627.82147,Reading: 5.7 lbs
1707189627.90934,Reading: 5.7 lbs
1707189627.99759,Reading: 5.8 lbs
1707189628.08451,Reading: 5.8 lbs
1707189628.17254,Reading: 5.8 lbs
1707189628.26036,Reading: 5.7 lbs
1707189628.34854,Reading: 5.8 lbs
1707189628.4348,Reading: 5.7 lbs
1707189628.52601,Reading: 5.7 lbs
1707189628.61153,Reading: 5.7 lbs
1707189628.69892,Reading: 5.7 lbs
1707189628.78709,Reading: 5.6 lbs
1707189628.87477,Reading: 5.6 lbs
1707189628.96228,Reading: 5.6 lbs
1707189629.0505,Reading: 5.6 lbs
1707189629.13856,Reading: 5.6 lbs
1707189629.22483,Reading: 5.6 lbs
1707189629.31293,Reading: 5.6 lbs
1707189629.40121,Reading: 5.6 lbs
1707189629.49166,Reading: 5.6 lbs
1707189629.5768,Reading: 5.5 lbs
1707189629.66444,Reading: 5.3 lbs
1707189629.75251,Reading: 4.9 lbs
1707189629.84014,Reading: 4.6 lbs
1707189629.9279,Reading: 4.4 lbs
1707189630.01617,Reading: 4.3 lbs
1707189630.10345,Reading: 4.3 lbs
1707189630.19107,Reading: 4.2 lbs
1707189630.27929,Reading: 4.2 lbs
1707189630.36697,Reading: 4.2 lbs
1707189630.4544,Reading: 4.2 lbs
1707189630.54271,Reading: 4.2 lbs
1707189630.63051,Reading: 4.3 lbs
1707189630.71845,Reading: 4.2 lbs
1707189630.80616,Reading: 4.2 lbs
1707189630.89371,Reading: 4.1 lbs
1707189630.98132,Reading: 4.1 lbs
1707189631.06972,Reading: 4.2 lbs
1707189631.15746,Reading: 4.3 lbs
1707189631.24575,Reading: 4.4 lbs
1707189631.33249,Reading: 4.5 lbs
1707189631.41964,Reading: 4.5 lbs
1707189631.5086,Reading: 4.2 lbs
1707189631.59618,Reading: 3.8 lbs
1707189631.68373,Reading: 3.8 lbs
1707189631.77146,Reading: 3.7 lbs
1707189631.85912,Reading: 3.7 lbs
1707189631.94726,Reading: 3.7 lbs
1707189632.03514,Reading: 3.8 lbs
1707189632.12242,Reading: 3.7 lbs
1707189632.20986,Reading: 3.9 lbs
1707189632.29869,Reading: 3.9 lbs
1707189632.38647,Reading: 3.6 lbs
1707189632.47431,Reading: 3.3 lbs
1707189632.56113,Reading: 3.2 lbs
1707189632.64866,Reading: 3.1 lbs
1707189632.73765,Reading: 3.0 lbs
1707189632.82524,Reading: 3.0 lbs
1707189632.91499,Reading: 3.1 lbs
1707189633.00032,Reading: 3.2 lbs
1707189633.08797,Reading: 3.3 lbs
1707189633.17583,Reading: 3.3 lbs
1707189633.2647,Reading: 3.3 lbs
1707189633.35237,Reading: 3.3 lbs
1707189633.43949,Reading: 3.4 lbs
1707189633.52743,Reading: 3.4 lbs
1707189633.6149,Reading: 3.4 lbs
1707189633.7036,Reading: 3.3 lbs
1707189633.79124,Reading: 3.2 lbs
1707189633.87837,Reading: 3.2 lbs
1707189633.96641,Reading: 3.3 lbs
1707189634.05372,Reading: 3.4 lbs
1707189634.14197,Reading: 3.5 lbs
1707189634.22918,Reading: 3.5 lbs
1707189634.3171,Reading: 3.5 lbs
1707189634.4054,Reading: 3.5 lbs
1707189634.49319,Reading: 3.5 lbs
1707189634.58149,Reading: 3.5 lbs
1707189634.66834,Reading: 3.5 lbs
1707189634.7566,Reading: 3.5 lbs
1707189634.84451,Reading: 3.5 lbs
1707189634.93261,Reading: 3.4 lbs
1707189635.01922,Reading: 3.2 lbs
1707189635.10741,Reading: 3.1 lbs
1707189635.19516,Reading: 3.1 lbs
1707189635.28296,Reading: 3.1 lbs
1707189635.37138,Reading: 3.1 lbs
1707189635.4584,Reading: 3.1 lbs
1707189635.54603,Reading: 3.0 lbs
1707189635.63436,Reading: 3.0 lbs
1707189635.72265,Reading: 3.1 lbs
1707189635.80884,Reading: 3.1 lbs
1707189635.89705,Reading: 3.1 lbs
1707189635.98553,Reading: 3.1 lbs
1707189636.07319,Reading: 3.1 lbs
1707189636.16169,Reading: 3.0 lbs
1707189636.24863,Reading: 3.0 lbs
1707189636.33626,Reading: 3.0 lbs
1707189636.42404,Reading: 3.1 lbs
1707189636.51209,Reading: 3.1 lbs
1707189636.59928,Reading: 3.1 lbs
1707189636.68676,Reading: 3.1 lbs
1707189636.77511,Reading: 3.1 lbs
1707189636.86309,Reading: 3.1 lbs
1707189636.95127,Reading: 3.2 lbs
1707189637.03788,Reading: 3.2 lbs
1707189637.12914,Reading: 3.2 lbs
1707189637.21462,Reading: 3.1 lbs
1707189637.30262,Reading: 3.1 lbs
